Country,Year,Co2,KG_CAP_BEEF,KG_CAP_PIG,KG_CAP_POULTRY,KG_CAP_SHEEP,THND_TONNE_BEEF,THND_TONNE_PIG,THND_TONNE_POULTRY,THND_TONNE_SHEEP,KG_CAP_TOTAL,THND_TONNE_TOTAL,PopMale,PopFemale,PopTotal,PopDensity,Genero
ZAF,1990,15923936796.0,13.39970863,2.702739215,13.02780336,3.947225407,719.0001,130.1491021,556.0580834,168.477105,33.077476612,1573.6843904999998,314377.32399999996,315972.36100000003,630349.685,21.261,False
ZAF,1990,15923936796.0,13.39970863,2.702739215,13.02780336,3.947225407,719.0001,130.1491021,556.0580834,168.477105,33.077476612,1573.6843904999998,18285.907,18514.6,36800.507000000005,30.336,False
ZAF,1990,8617879970.0,13.39970863,2.702739215,13.02780336,3.947225407,719.0001,130.1491021,556.0580834,168.477105,33.077476612,1573.6843904999998,314377.32399999996,315972.36100000003,630349.685,21.261,False
ZAF,1990,8617879970.0,13.39970863,2.702739215,13.02780336,3.947225407,719.0001,130.1491021,556.0580834,168.477105,33.077476612,1573.6843904999998,18285.907,18514.6,36800.507000000005,30.336,False
ARG,1990,3669190220.0,55.36999455,3.66126531,8.630685628,2.6886900000000003e-06,2588.9221,153.6311,321.0001,0.0001,67.66194817669,3063.5534,15884.933,16733.715,32618.647999999997,11.919,False
AUS,1990,7539894800.0,4.10764e-06,4.57708e-06,21.94668516,18.92314126,0.0001,0.0001,425.00331919999996,366.45159789999997,40.86983510472,791.4551170999999,8455.083,8505.517,16960.6,2.208,False
BRA,1990,4635811488.0,20.81915049,5.5489666920000005,12.48381278,0.674046755,4441.978261,1062.5001,2118.7320640000003,114.3981008,39.525976717,7737.608525800001,74077.777,74925.448,149003.225,17.827,False
CAN,1990,17171743393.0,24.86491268,20.48407659,24.28646792,0.729611146,983.6801,727.2551,764.269755,22.9601,70.36506833600001,2498.165055,13656.649,13884.673999999999,27541.322999999997,3.029,False
CHL,1990,1005670924.0,12.96848336,7.165720677,7.829682487,0.813875583,245.32909480000004,121.6530999,117.8200997,12.24709974,28.777762107,497.04939414000006,6519.941999999999,6754.675,13274.617,17.852999999999998,False
CHN,1990,41802447868.0,0.6417840779999999,15.01527957,7.50568e-08,0.799367135,1074.938088,22569.99033,0.0001,1065.016091,16.4564308580568,24709.944609000002,603859.475,573024.206,1176883.6809999999,125.35799999999999,True
COL,1990,1303218700.0,15.01101697,3.047029732,7.666257655,0.313136774,734.9300927,133.88010490000002,298.5621117,12.19509969,26.037441130999998,1179.56740899,16315.306,16787.263,33102.568999999996,29.836,False
EGY,1990,1405886202.0,4.906737772,0.033001655,4.169731541,1.258884809,402.4381188,2.429100139,272.0380944,82.1310967,10.368355777,759.036410039,28206.576,27927.902000000002,56134.477999999996,56.391000000000005,True
ETH,1990,48681336.0,,,,,231.5001,1.050099952,35.64009939,59.29010092,,327.480400262,23880.379,24007.485,47887.864,47.888000000000005,False
IND,1990,11848166774.0,1.649949479,0.370216461,0.395779564,0.6097091029999999,2050.966164,412.99710930000003,391.3421105,602.8730857999999,3.025654607,3458.1784695999995,453257.37899999996,420020.42,873277.7990000001,293.717,True
IDN,1990,2899619326.0,1.1800171990000001,2.3510166669999997,2.468272871,0.43781104,305.85511099999997,546.8730857999999,508.9040916999999,90.26709829,6.437117776999999,1451.8993867899997,91096.365,90317.03300000001,181413.39800000002,100.14200000000001,True
ISR,1990,628589632.0,9.966029647000001,1.590356198,34.26907622,1.173229023,64.0740975,9.176100595,175.2580956,6.0001,46.998691088,254.50839369499997,2220.054,2228.294,4448.348,205.56099999999998,False
JPN,1990,28811788385.0,5.9998104979999995,12.97841084,12.61107925,0.7429247179999999,1067.2425289999999,2071.812957,1784.4041,105.1201,32.332225306,5028.579686,61357.276,63147.967000000004,124505.243,341.527,False
KAZ,1990,6943216829.0,,,,,710.0001,286.0001,201.0001,278.0001,,1475.0004,7951.679,8432.202,16383.881000000001,6.069,False
MYS,1990,765402611.0,2.5836481030000003,10.05922274,18.81175547,0.370478391,66.57810293,232.63010490000002,385.60508050000004,7.594099862999999,31.825104703999997,692.407388193,9172.078000000001,8857.746,18029.824,54.876999999999995,True
MEX,1990,7375123360.0,7.261090006,7.216834595,8.303578976,0.46113457799999996,885.4160082999998,789.7611,805.4271,44.72894,23.242638155,2525.3331482999997,41540.39,42402.745,83943.135,43.181999999999995,False
NZL,1990,877999747.0,26.07147352,10.97180425,14.57962928,27.82569787,126.56478759999999,47.8001,56.3001,107.45057659999998,79.44860492000001,338.11556419999994,1672.54,1725.635,3398.175,12.905999999999999,False
NGA,1990,13937583.0,1.5013382380000002,0.875349763,1.608192604,1.52085763,204.3321007,106.91610039999999,174.1050957,164.6500939,5.505738235000001,650.0033907,3925.01,4101.582,8026.592,6.337000000000001,False
NGA,1990,13937583.0,1.5013382380000002,0.875349763,1.608192604,1.52085763,204.3321007,106.91610039999999,174.1050957,164.6500939,5.505738235000001,650.0033907,47896.887,47315.567,95212.454,104.541,True
NGA,1990,1297503546.0,1.5013382380000002,0.875349763,1.608192604,1.52085763,204.3321007,106.91610039999999,174.1050957,164.6500939,5.505738235000001,650.0033907,3925.01,4101.582,8026.592,6.337000000000001,False
NGA,1990,1297503546.0,1.5013382380000002,0.875349763,1.608192604,1.52085763,204.3321007,106.91610039999999,174.1050957,164.6500939,5.505738235000001,650.0033907,47896.887,47315.567,95212.454,104.541,True
NOR,1990,1439648450.0,12.64136296,15.388160999999998,4.161248433,4.82923285,76.70210184,83.79218638,20.08410006,23.30810028,37.020005243,203.88648855999998,2099.924,2147.362,4247.286,11.628,False
PAK,1990,917864640.0,4.33439453,1.37632e-06,1.313357223,3.955352383,666.7451562000001,0.00018999999999999998,160.70510180000002,483.98508539999995,9.603105512319999,1311.4355334,55820.76,51827.157999999996,107647.918,139.643,True
PRY,1990,34696082.0,14.26035544,21.86745568,5.163393054,0.714464215,85.84208761,118.13310320000001,24.72409902,3.421100004,42.005668389,232.12038983400004,2139.388,2084.025,4223.413,10.63,True
PER,1990,822319023.0,3.9602750739999997,2.377277344,10.04390177,1.420153596,123.48510060000001,66.52310262,249.11910330000003,35.22409902,17.801607783999998,474.35140554000003,10978.391000000001,11093.042,22071.432999999997,17.243,False
PHL,1990,902983940.0,1.567175692,8.622612468,3.4372623339999997,0.386209377,138.6891106,684.8050927,241.9650963,27.18709837,14.013259870999999,1092.64639797,31267.88,30627.289,61895.169,207.583,True
RUS,1990,55551702520.0,4.7437e-07,5.28584e-07,5.96351e-07,5.96351e-07,0.0001,0.0001,0.0001,0.0001,2.195656e-06,0.0004,69060.99,78470.572,147531.562,9.009,False
SAU,1990,3167612437.0,3.0170655219999998,9.07709e-06,25.61235399,5.66652113,70.37010275,0.00018999999999999998,475.1911095,105.1320962,34.29594971909,650.69349845,9087.121,7146.665,16233.786,7.5520000000000005,True
CHE,1990,1747277176.0,18.29510449,31.85655371,9.70878151,1.637553398,174.4540143,272.6140921,73.6421007,12.42101,61.497993108,533.1312171000001,3247.534,3405.3390000000004,6652.8730000000005,168.359,False
THA,1990,960356063.0,3.9148818660000004,4.631933936,8.15211621,0.020608517,316.4500817,336.0101098,524.1701439,1.325100048,16.719540529,1177.9554354480001,28018.397999999997,28539.798,56558.195999999996,110.705,False
TUR,1990,2399842404.0,4.954876493,0.005831011,6.766257345,5.922319457,381.6790856,0.403100027,414.6001061,362.8881005,17.649284306,1159.570392227,26630.264,27291.494,53921.758,70.062,False
UKR,1990,16750334043.0,,,,,1985.4001239999998,1576.300149,708.4001244,45.80009924,,4315.90049664,23933.036,27530.065,51463.100999999995,88.834,False
GBR,1990,62691363779.0,1.22413e-06,1.36403e-06,1.5389099999999998e-06,1.5389099999999998e-06,0.0001,0.0001,0.0001,0.0001,5.665979999999999e-06,0.0004,27772.1,29362.277000000002,57134.377,236.16099999999997,False
USA,1990,247000000000.0,30.62289193,22.45919161,35.01458501,0.62852577,11047.424809999999,7271.305813,10047.99023,180.3654334,88.72519432,28547.086286399997,123549.353,128570.95599999999,252120.30899999998,27.561999999999998,False
VNM,1990,552338806.0,1.686291578,8.146583161,2.187564446,0.035996222,164.3161095,712.4040917,169.5601128,2.7900999619999998,12.056435407,1049.0704139620002,33653.282999999996,34335.572,67988.855,219.269,False
ZAF,1991,16610791075.0,13.49451117,2.3017796180000003,12.02702724,3.869631169,741.0001,113.43009270000002,525.3331078,169.02309499999998,31.692949197000004,1548.7863955,322832.733,324511.308,647344.041,21.834,False
ZAF,1991,16610791075.0,13.49451117,2.3017796180000003,12.02702724,3.869631169,741.0001,113.43009270000002,525.3331078,169.02309499999998,31.692949197000004,1548.7863955,18717.918,19001.034,37718.952000000005,31.093000000000004,False
ZAF,1991,8943607143.0,13.49451117,2.3017796180000003,12.02702724,3.869631169,741.0001,113.43009270000002,525.3331078,169.02309499999998,31.692949197000004,1548.7863955,322832.733,324511.308,647344.041,21.834,False
ZAF,1991,8943607143.0,13.49451117,2.3017796180000003,12.02702724,3.869631169,741.0001,113.43009270000002,525.3331078,169.02309499999998,31.692949197000004,1548.7863955,18717.918,19001.034,37718.952000000005,31.093000000000004,False
ARG,1991,3786035223.0,51.6379829,3.599022508,8.849334628,2.339080058,2448.6671,153.1611,333.8001,88.23094503,66.42542009399999,3023.85924503,16103.089,16975.913,33079.002,12.087,False
AUS,1991,7819767164.0,27.80840108,14.45115368,22.24322821,19.3225514,686.147428,319.998084,436.5707216,379.2462194,83.82533437,1821.962453,8564.678,8624.556999999999,17189.235,2.238,False
BRA,1991,4853038960.0,20.6350223,5.705142826,13.78457542,0.670750776,4480.057223,1111.6001,2380.605213,115.83909890000001,40.795491322,8088.101634899999,75369.084,76278.923,151648.00699999998,18.144000000000002,False
